Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Distracted,https://www.imdb.com/title/tt0072884/,6.3,1239,85.0,['Comedy'],,,IMDB,Distracted (1970) ,"
Country:
France
","
Language:
French
","
Release Date: 9 December 1970 (France)
    
See more »
    
"
Brewster McCloud,https://www.imdb.com/title/tt0065492/,7.0,4269,105.0,"['Comedy', 'Fantasy']",R,72.0,IMDB,Brewster McCloud (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1971 (UK)
    
See more »
    
"
The Garden of the Finzi-Continis,https://www.imdb.com/title/tt0065777/,7.4,5925,94.0,"['Drama', 'History', 'War']",R,,IMDB,The Garden of the Finzi-Continis (1970) ,"
Country:
Italy
|
West Germany
","
Language:
Italian
","
Release Date: 16 December 1971 (USA)
    
See more »
    
"
The Forbidden Photos of a Lady Above Suspicion,https://www.imdb.com/title/tt0065677/,6.3,1315,96.0,"['Mystery', 'Thriller']",Not Rated,,IMDB,The Forbidden Photos of a Lady Above Suspicion (1970) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 15 April 1971 (Spain)
    
See more »
    
"
Pippi on the Run,https://www.imdb.com/title/tt0066265/,6.9,3271,94.0,"['Adventure', 'Comedy', 'Drama']",G,,IMDB,Pippi on the Run (1970) ,"
Country:
Sweden
|
West Germany
","
Language:
Swedish
","
Release Date: 1977 (USA)
    
See more »
    
"
Ryan's Daughter,https://www.imdb.com/title/tt0066319/,7.4,8545,206.0,"['Drama', 'Romance']",R,,IMDB,Ryan's Daughter (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 10 December 1970 (UK)
    
See more »
    
"
Scars of Dracula,https://www.imdb.com/title/tt0067713/,6.2,4838,95.0,['Horror'],R,,IMDB,Scars of Dracula (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 23 December 1970 (USA)
    
See more »
    
"
The Horror of Frankenstein,https://www.imdb.com/title/tt0065851/,5.8,2116,95.0,"['Drama', 'Horror', 'Sci-Fi']",R,,IMDB,The Horror of Frankenstein (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 17 June 1971 (USA)
    
See more »
    
"
The Phantom Tollbooth,https://www.imdb.com/title/tt0064806/,6.9,2811,90.0,"['Family', 'Adventure', 'Animation']",G,,IMDB,The Phantom Tollbooth (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1972 (UK)
    
See more »
    
"
Scrooge,https://www.imdb.com/title/tt0066344/,7.5,8783,113.0,"['Drama', 'Family', 'Fantasy']",G,58.0,IMDB,Scrooge (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 December 1970 (UK)
    
See more »
    
"
The Owl and the Pussycat,https://www.imdb.com/title/tt0066195/,6.5,3240,95.0,['Comedy'],R,,IMDB,The Owl and the Pussycat (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 November 1970 (USA)
    
See more »
    
"
Carry on Loving,https://www.imdb.com/title/tt0065524/,5.9,2079,88.0,"['Comedy', 'Romance']",,,IMDB,Carry on Loving (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 20 November 1970 (UK)
    
See more »
    
"
The Private Life of Sherlock Holmes,https://www.imdb.com/title/tt0066249/,7.1,10286,125.0,"['Adventure', 'Comedy', 'Crime']",PG-13,,IMDB,The Private Life of Sherlock Holmes (1970) ,"
Country:
UK
|
USA
","
Language:
English
|
Russian
|
French
|
German
","
Release Date: 29 October 1970 (USA)
    
See more »
    
"
The Twelve Chairs,https://www.imdb.com/title/tt0066495/,6.5,5647,94.0,['Comedy'],GP,,IMDB,The Twelve Chairs (1970) ,"
Country:
USA
","
Language:
English
|
Russian
","
Release Date: 28 October 1970 (USA)
    
See more »
    
"
The McKenzie Break,https://www.imdb.com/title/tt0066064/,6.5,1372,108.0,"['Action', 'Drama', 'War']",PG,,IMDB,The McKenzie Break (1970) ,"
Country:
Ireland
|
UK
","
Language:
English
|
German
","
Release Date: April 1971 (UK)
    
See more »
    
"
The Troops on Vacation,https://www.imdb.com/title/tt0065769/,6.5,5799,100.0,"['Adventure', 'Comedy', 'Crime']",,,IMDB,The Troops on Vacation (1970) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 28 October 1970 (France)
    
See more »
    
"
Pratidwandi,https://www.imdb.com/title/tt0066237/,8.1,1389,110.0,['Drama'],,,IMDB,Pratidwandi (1970) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 27 October 1970 (India)
    
See more »
    
"
Dodes'ka-den,https://www.imdb.com/title/tt0065649/,7.4,5947,140.0,['Drama'],Not Rated,,IMDB,Dodes'ka-den (1970) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 17 October 1974 (USA)
    
See more »
    
"
Waterloo,https://www.imdb.com/title/tt0066549/,7.3,8477,123.0,"['Action', 'Biography', 'Drama']",G,,IMDB,Waterloo (1970) ,"
Country:
Italy
|
Soviet Union
","
Language:
English
","
Release Date: 29 October 1970 (Italy)
    
See more »
    
"
When Dinosaurs Ruled the Earth,https://www.imdb.com/title/tt0066561/,5.2,2203,96.0,"['Adventure', 'Fantasy', 'Romance']",G,,IMDB,When Dinosaurs Ruled the Earth (1970) ,"
Country:
UK
","
Language:
Aboriginal
|
English
","
Release Date: 17 March 1971 (USA)
    
See more »
    
"
Husbands,https://www.imdb.com/title/tt0065867/,7.4,5094,131.0,"['Comedy', 'Drama']",PG-13,,IMDB,Husbands (1970) ,"
Country:
USA
","
Language:
English
|
French
|
Italian
|
Cantonese
","
Release Date: 8 December 1970 (USA)
    
See more »
    
"
The Wizard of Gore,https://www.imdb.com/title/tt0066578/,5.4,3138,95.0,['Horror'],Not Rated,,IMDB,The Wizard of Gore (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 October 1970 (USA)
    
See more »
    
"
No Blade of Grass,https://www.imdb.com/title/tt0066154/,5.9,1487,96.0,"['Drama', 'Sci-Fi']",R,,IMDB,No Blade of Grass (1970) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 23 October 1970 (USA)
    
See more »
    
"
Little Fauss and Big Halsy,https://www.imdb.com/title/tt0065989/,6.0,1031,99.0,['Drama'],R,,IMDB,Little Fauss and Big Halsy (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 October 1970 (USA)
    
See more »
    
"
Tko pjeva zlo ne misli,https://www.imdb.com/title/tt0066461/,8.5,2014,85.0,"['Comedy', 'Drama', 'Musical']",,,IMDB,Tko pjeva zlo ne misli (1970) ,"
Country:
Yugoslavia
|
Croatia
","
Language:
Croatian
","
Release Date: 20 October 1970 (Yugoslavia)
    
See more »
    
"
Le Cercle Rouge,https://www.imdb.com/title/tt0065531/,8.0,21301,140.0,"['Crime', 'Drama', 'Thriller']",Not Rated,91.0,IMDB,Le Cercle Rouge (1970) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 20 October 1970 (France)
    
See more »
    
"
Rejs,https://www.imdb.com/title/tt0066289/,7.6,2994,65.0,['Comedy'],,,IMDB,Rejs (1970) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 19 October 1970 (Poland)
    
See more »
    
"
I Never Sang for My Father,https://www.imdb.com/title/tt0065872/,7.5,2335,92.0,['Drama'],GP,,IMDB,I Never Sang for My Father (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1971 (UK)
    
See more »
    
"
I Walk the Line,https://www.imdb.com/title/tt0065874/,6.6,1608,97.0,['Drama'],PG-13,,IMDB,I Walk the Line (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 October 1970 (USA)
    
See more »
    
"
The Great White Hope,https://www.imdb.com/title/tt0065797/,6.9,2318,103.0,"['Drama', 'Romance', 'Sport']",PG-13,53.0,IMDB,The Great White Hope (1970) ,"
Country:
USA
","
Language:
English
|
Hungarian
|
German
|
Spanish
","
Release Date: 16 October 1970 (USA)
    
See more »
    
"
The American Soldier,https://www.imdb.com/title/tt0065391/,6.7,1591,80.0,['Drama'],,,IMDB,The American Soldier (1970) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 30 May 1975 (Denmark)
    
See more »
    
"
Trash,https://www.imdb.com/title/tt0066482/,6.3,2558,110.0,['Drama'],Not Rated,,IMDB,Trash (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 February 1971 (West Germany)
    
See more »
    
"
The Vampire Lovers,https://www.imdb.com/title/tt0066518/,6.5,5157,91.0,['Horror'],R,,IMDB,The Vampire Lovers (1970) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 22 October 1970 (USA)
    
See more »
    
"
Monte Walsh,https://www.imdb.com/title/tt0066093/,7.1,2350,106.0,['Western'],PG-13,,IMDB,Monte Walsh (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 October 1970 (USA)
    
See more »
    
"
"AdiÃ³s, Sabata",https://www.imdb.com/title/tt0066745/,6.0,1722,104.0,"['Action', 'War', 'Western']",PG-13,,IMDB,"Adiós, Sabata (1970) ","
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 30 September 1970 (Italy)
    
See more »
    
"
Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,https://www.imdb.com/title/tt0065760/,4.2,1208,78.0,"['Comedy', 'Drama', 'Sci-Fi']",R,,IMDB,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It. (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1970 (USA)
    
See more »
    
"
Anaparastasi,https://www.imdb.com/title/tt0065396/,7.3,1099,100.0,"['Crime', 'Drama']",,,IMDB,Anaparastasi (1970) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 28 January 1977 (Italy)
    
See more »
    
"
Tora! Tora! Tora!,https://www.imdb.com/title/tt0066473/,7.5,31048,144.0,"['Action', 'Drama', 'History']",G,46.0,IMDB,Tora! Tora! Tora! (1970) ,"
Country:
Japan
|
USA
","
Language:
English
|
Japanese
","
Release Date: 23 September 1970 (USA)
    
See more »
    
"
There Was a Crooked Man...,https://www.imdb.com/title/tt0066448/,7.0,4024,126.0,"['Comedy', 'Western']",R,,IMDB,There Was a Crooked Man... (1970) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 19 September 1970 (France)
    
See more »
    
"
The Band,https://www.imdb.com/title/tt0065848/,6.4,2627,85.0,"['Comedy', 'Musical']",,,IMDB,The Band (1970) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Spanish
|
Italian
","
Release Date: 18 September 1970 (France)
    
See more »
    
"
The Family,https://www.imdb.com/title/tt0065555/,6.4,2177,100.0,"['Action', 'Crime', 'Thriller']",R,,IMDB,The Family (1970) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 1 February 1973 (USA)
    
See more »
    
"
Five Easy Pieces,https://www.imdb.com/title/tt0065724/,7.5,32356,98.0,['Drama'],R,85.0,IMDB,Five Easy Pieces (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 September 1970 (USA)
    
See more »
    
"
Valerie and Her Week of Wonders,https://www.imdb.com/title/tt0066516/,7.2,7847,77.0,"['Adventure', 'Drama', 'Fantasy']",Not Rated,,IMDB,Valerie and Her Week of Wonders (1970) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 16 October 1970 (Czechoslovakia)
    
See more »
    
"
Deep End,https://www.imdb.com/title/tt0066122/,7.2,5120,88.0,"['Comedy', 'Drama', 'Romance']",R,,IMDB,Deep End (1970) ,"
Country:
UK
|
West Germany
","
Language:
English
","
Release Date: 18 March 1971 (Denmark)
    
See more »
    
"
Bed & Board,https://www.imdb.com/title/tt0065651/,7.5,7953,100.0,"['Comedy', 'Drama']",GP,,IMDB,Bed & Board (1970) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 9 September 1970 (France)
    
See more »
    
"
Many Wars Ago,https://www.imdb.com/title/tt0066511/,7.6,1357,100.0,"['Drama', 'War']",Not Rated,,IMDB,Many Wars Ago (1970) ,"
Country:
Italy
|
Yugoslavia
","
Language:
Italian
","
Release Date: 17 September 1970 (Italy)
    
See more »
    
"
The Breach,https://www.imdb.com/title/tt0066318/,7.3,1516,124.0,['Thriller'],,,IMDB,The Breach (1970) ,"
Country:
France
|
Italy
|
Belgium
","
Language:
French
","
Release Date: 26 August 1970 (France)
    
See more »
    
"
The Spider's Stratagem,https://www.imdb.com/title/tt0066413/,6.9,2388,100.0,"['Drama', 'Mystery']",,,IMDB,The Spider's Stratagem (1970) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 27 March 1973 (Italy)
    
See more »
    
"
House of Dark Shadows,https://www.imdb.com/title/tt0065856/,6.4,2559,97.0,"['Drama', 'Fantasy', 'Horror']",PG,,IMDB,House of Dark Shadows (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 1971 (Japan)
    
See more »
    
"
Wanda,https://www.imdb.com/title/tt0067961/,7.1,3088,102.0,"['Crime', 'Drama']",GP,,IMDB,Wanda (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 January 1971 (UK)
    
See more »
    
"
A Man Called Sledge,https://www.imdb.com/title/tt0066050/,5.9,1085,93.0,['Western'],R,,IMDB,A Man Called Sledge (1970) ,"
Country:
Italy
|
USA
","
Language:
English
","
Release Date: 9 June 1971 (USA)
    
See more »
    
"
Zatoichi Goes to the Fire Festival,https://www.imdb.com/title/tt0164982/,7.4,1113,96.0,"['Drama', 'Adventure', 'Action']",Not Rated,,IMDB,Zatoichi Goes to the Fire Festival (1970) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 12 August 1970 (Japan)
    
See more »
    
"
Soldier Blue,https://www.imdb.com/title/tt0066390/,6.9,4781,112.0,['Western'],R,,IMDB,Soldier Blue (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 September 1970 (Italy)
    
See more »
    
"
Lovers and Other Strangers,https://www.imdb.com/title/tt0066016/,6.6,1068,104.0,['Comedy'],GP,,IMDB,Lovers and Other Strangers (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 August 1970 (USA)
    
See more »
    
"
Diary of a Mad Housewife,https://www.imdb.com/title/tt0065636/,7.0,1313,95.0,"['Comedy', 'Drama']",R,,IMDB,Diary of a Mad Housewife (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 November 1970 (France)
    
See more »
    
"
Performance,https://www.imdb.com/title/tt0066214/,6.9,9242,105.0,"['Crime', 'Drama']",R,,IMDB,Performance (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 4 September 1970 (Finland)
    
See more »
    
"
Space Amoeba,https://www.imdb.com/title/tt0065776/,5.3,1004,84.0,"['Adventure', 'Sci-Fi']",G,,IMDB,Space Amoeba (1970) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 1 August 1970 (Japan)
    
See more »
    
"
Which Way to the Front?,https://www.imdb.com/title/tt0066564/,4.6,1122,96.0,"['Comedy', 'War']",G,,IMDB,Which Way to the Front? (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 September 1970 (Sweden)
    
See more »
    
"
Trog,https://www.imdb.com/title/tt0066492/,3.9,2212,93.0,"['Horror', 'Sci-Fi']",GP,,IMDB,Trog (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: July 1970 (UK)
    
See more »
    
"
You Can't Win 'Em All,https://www.imdb.com/title/tt0066593/,5.8,1024,97.0,"['Action', 'Adventure', 'Comedy']",PG,,IMDB,You Can't Win 'Em All (1970) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 24 July 1970 (USA)
    
See more »
    
"
Cry of the Banshee,https://www.imdb.com/title/tt0065597/,5.7,1934,91.0,['Horror'],GP,,IMDB,Cry of the Banshee (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 July 1970 (USA)
    
See more »
    
"
The Man Who Haunted Himself,https://www.imdb.com/title/tt0066053/,6.4,2004,94.0,['Thriller'],GP,,IMDB,The Man Who Haunted Himself (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: 1970 (Argentina)
    
See more »
    
"
Hoffman,https://www.imdb.com/title/tt0065839/,6.9,1187,113.0,['Comedy'],GP,,IMDB,Hoffman (1970) ,"
Country:
UK
","
Language:
English
","
Release Date: August 1971 (USA)
    
See more »
    
"
Cromwell,https://www.imdb.com/title/tt0065593/,6.9,4859,139.0,"['Biography', 'Drama', 'History']",G,,IMDB,Cromwell (1970) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 17 July 1970 (UK)
    
See more »
    
"
Joe,https://www.imdb.com/title/tt0065916/,6.8,2718,107.0,"['Drama', 'Thriller']",R,,IMDB,Joe (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 July 1970 (USA)
    
See more »
    
"
Figures in a Landscape,https://www.imdb.com/title/tt0065720/,6.5,1173,110.0,"['Action', 'Thriller']",R,,IMDB,Figures in a Landscape (1970) ,"
Country:
UK
|
Spain
|
USA
","
Language:
English
","
Release Date: 22 March 1971 (Spain)
    
See more »
    
"
Where's Poppa?,https://www.imdb.com/title/tt0066563/,6.6,1670,82.0,['Comedy'],R,,IMDB,Where's Poppa? (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 January 1972 (Sweden)
    
See more »
    
"
They Call Me Mister Tibbs!,https://www.imdb.com/title/tt0066450/,6.1,3129,108.0,"['Crime', 'Drama', 'Mystery']",GP,,IMDB,They Call Me Mister Tibbs! (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 July 1970 (USA)
    
See more »
    
"
And Soon the Darkness,https://www.imdb.com/title/tt0065398/,6.6,2827,94.0,"['Horror', 'Mystery', 'Thriller']",GP,,IMDB,And Soon the Darkness (1970) ,"
Country:
UK
|
France
","
Language:
English
|
French
","
Release Date: 9 April 1971 (USA)
    
See more »
    
"
The Conformist,https://www.imdb.com/title/tt0065571/,8.0,25915,113.0,['Drama'],R,100.0,IMDB,The Conformist (1970) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
|
French
|
Latin
|
Chinese
","
Release Date: 21 March 1971 (USA)
    
See more »
    
"
Crimes of the Future,https://www.imdb.com/title/tt0065591/,5.0,1598,63.0,"['Comedy', 'Sci-Fi']",Not Rated,,IMDB,Crimes of the Future (1970) ,"
Country:
Canada
","
Language:
English
","
Release Date: 10 August 1984 (USA)
    
See more »
    
"
Warum lÃ¤uft Herr R. Amok,https://www.imdb.com/title/tt0066546/,7.4,2329,88.0,['Drama'],Not Rated,,IMDB,Warum läuft Herr R. Amok (1970) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 17 November 1977 (USA)
    
See more »
    
"
Chisum,https://www.imdb.com/title/tt0065547/,6.9,8740,111.0,"['Biography', 'Western']",G,,IMDB,Chisum (1970) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 29 July 1970 (USA)
    
See more »
    
"
Catch-22,https://www.imdb.com/title/tt0065528/,7.1,21488,122.0,"['Comedy', 'Drama', 'War']",R,70.0,IMDB,Catch-22 (1970) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 24 June 1970 (USA)
    
See more »
    
"
Kelly's Heroes,https://www.imdb.com/title/tt0065938/,7.6,44190,144.0,"['Adventure', 'Comedy', 'War']",GP,50.0,IMDB,Kelly's Heroes (1970) ,"
Country:
USA
","
Language:
English
|
French
|
German
","
Release Date: 23 June 1970 (USA)
    
See more »
    
"
Myra Breckinridge,https://www.imdb.com/title/tt0066115/,4.4,2769,94.0,['Comedy'],R,,IMDB,Myra Breckinridge (1970) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 24 June 1970 (USA)
    
See more »
    
"
Blind Woman's Curse,https://www.imdb.com/title/tt0065932/,6.6,1130,85.0,"['Action', 'Crime', 'Horror']",Not Rated,,IMDB,Blind Woman's Curse (1970) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 6 August 1971 (USA)
    
See more »
    
"
Darling Lili,https://www.imdb.com/title/tt0065611/,6.1,1917,136.0,"['Comedy', 'Drama', 'Musical']",G,,IMDB,Darling Lili (1970) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 24 June 1970 (USA)
    
See more »
    
"
On a Clear Day You Can See Forever,https://www.imdb.com/title/tt0066181/,6.4,3472,129.0,"['Comedy', 'Drama', 'Fantasy']",G,,IMDB,On a Clear Day You Can See Forever (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 June 1970 (USA)
    
See more »
    
"
Beyond the Valley of the Dolls,https://www.imdb.com/title/tt0065466/,6.2,9764,109.0,"['Comedy', 'Drama', 'Music']",,60.0,IMDB,Beyond the Valley of the Dolls (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 June 1970 (USA)
    
See more »
    
"
The Cheyenne Social Club,https://www.imdb.com/title/tt0065542/,6.9,3956,103.0,"['Comedy', 'Romance', 'Western']",GP,,IMDB,The Cheyenne Social Club (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 1970 (USA)
    
See more »
    
"
"Count Yorga, Vampire",https://www.imdb.com/title/tt0066952/,5.8,2225,93.0,"['Drama', 'Fantasy', 'Horror']",PG-13,,IMDB,"Count Yorga, Vampire (1970) ","
Country:
USA
","
Language:
English
","
Release Date: 12 June 1970 (USA)
    
See more »
    
"
Ned Kelly,https://www.imdb.com/title/tt0066130/,5.1,1079,100.0,"['Biography', 'Crime', 'Drama']",GP,,IMDB,Ned Kelly (1970) ,"
Country:
UK
|
Australia
","
Language:
English
","
Release Date: 1 July 1970 (UK)
    
See more »
    
"
Il rosso segno della follia,https://www.imdb.com/title/tt0064904/,6.4,3188,88.0,"['Horror', 'Mystery', 'Thriller']",GP,,IMDB,Il rosso segno della follia (1970) ,"
Country:
Spain
|
Italy
|
France
","
Language:
Italian
|
English
","
Release Date: 9 February 1974 (USA)
    
See more »
    
"
The Strawberry Statement,https://www.imdb.com/title/tt0066415/,6.8,1440,109.0,"['Drama', 'Romance']",R,,IMDB,The Strawberry Statement (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 June 1970 (UK)
    
See more »
    
"
Auch Zwerge haben klein angefangen,https://www.imdb.com/title/tt0065436/,6.9,5290,96.0,"['Comedy', 'Drama']",Not Rated,,IMDB,Auch Zwerge haben klein angefangen (1970) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 2 February 1971 (West Germany)
    
See more »
    
"
The Out of Towners,https://www.imdb.com/title/tt0066193/,7.1,7253,101.0,['Comedy'],G,72.0,IMDB,The Out of Towners (1970) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 28 May 1970 (USA)
    
See more »
    
"
Watermelon Man,https://www.imdb.com/title/tt0066550/,6.6,1678,100.0,['Comedy'],R,,IMDB,Watermelon Man (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 May 1970 (USA)
    
See more »
    
"
Cotton Comes to Harlem,https://www.imdb.com/title/tt0065579/,6.5,1676,97.0,"['Action', 'Comedy', 'Crime']",R,,IMDB,Cotton Comes to Harlem (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 May 1970 (USA)
    
See more »
    
"
Too Late the Hero,https://www.imdb.com/title/tt0066471/,6.7,3206,145.0,"['Action', 'Drama', 'War']",PG,,IMDB,Too Late the Hero (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 June 1970 (Canada)
    
See more »
    
"
The Landlord,https://www.imdb.com/title/tt0065963/,7.0,2166,112.0,"['Comedy', 'Drama', 'Romance']",PG,75.0,IMDB,The Landlord (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 May 1970 (USA)
    
See more »
    
"
Borsalino,https://www.imdb.com/title/tt0065486/,7.0,3371,125.0,"['Crime', 'Drama']",R,,IMDB,Borsalino (1970) ,"
Country:
France
|
Italy
","
Language:
French
|
Italian
|
German
","
Release Date: 13 August 1970 (USA)
    
See more »
    
"
The Nude Vampire,https://www.imdb.com/title/tt0065168/,5.4,1230,88.0,['Horror'],Not Rated,,IMDB,The Nude Vampire (1970) ,"
Country:
France
","
Language:
French
","
Release Date: 20 May 1970 (France)
    
See more »
    
"
Barquero,https://www.imdb.com/title/tt0065451/,6.3,1374,115.0,['Western'],R,,IMDB,Barquero (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 June 1970 (Japan)
    
See more »
    
"
Getting Straight,https://www.imdb.com/title/tt0065775/,6.4,1152,124.0,"['Comedy', 'Drama', 'Romance']",R,58.0,IMDB,Getting Straight (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 May 1970 (USA)
    
See more »
    
"
Taste the Blood of Dracula,https://www.imdb.com/title/tt0065073/,6.4,5128,91.0,"['Drama', 'Fantasy', 'Horror']",R,,IMDB,Taste the Blood of Dracula (1970) ,"
Country:
UK
","
Language:
English
|
Latin
","
Release Date: 7 June 1970 (USA)
    
See more »
    
"
Equinox,https://www.imdb.com/title/tt0067055/,5.3,2767,82.0,"['Action', 'Adventure', 'Horror']",GP,,IMDB,Equinox (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1970 (USA)
    
See more »
    
"
The Confession,https://www.imdb.com/title/tt0065439/,7.9,3602,139.0,"['Drama', 'History', 'Thriller']",GP,,IMDB,The Confession (1970) ,"
Country:
France
|
Italy
","
Language:
French
|
Spanish
","
Release Date: 9 December 1970 (USA)
    
See more »
    
"
"Hi, Mom!",https://www.imdb.com/title/tt0065836/,6.2,4172,87.0,"['Comedy', 'Drama']",R,,IMDB,"Hi, Mom! (1970) ","
Country:
USA
","
Language:
English
","
Release Date: 1970 (UK)
    
See more »
    
"
En kÃ¤rlekshistoria,https://www.imdb.com/title/tt0065955/,7.4,5854,115.0,"['Drama', 'Romance']",,,IMDB,En kärlekshistoria (1970) ,"
Country:
Sweden
","
Language:
Swedish
|
Spanish
","
Release Date: 24 April 1970 (Sweden)
    
See more »
    
"
Beneath the Planet of the Apes,https://www.imdb.com/title/tt0065462/,6.1,41001,95.0,"['Action', 'Adventure', 'Sci-Fi']",G,46.0,IMDB,Beneath the Planet of the Apes (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 May 1970 (USA)
    
See more »
    
"
Eden and After,https://www.imdb.com/title/tt0067040/,6.6,1021,93.0,['Drama'],Not Rated,,IMDB,Eden and After (1970) ,"
Country:
France
|
Czechoslovakia
|
Tunisia
","
Language:
French
","
Release Date: 20 April 1970 (France)
    
See more »
    
"
Jibon Theke Neya,https://www.imdb.com/title/tt0989831/,9.4,1780,150.0,"['Drama', 'Family', 'War']",,,IMDB,Jibon Theke Neya (1970) ,"
Country:
Bangladesh
","
Language:
Bengali
","
Release Date: 10 April 1970 (Bangladesh)
    
See more »
    
"
Multiple Maniacs,https://www.imdb.com/title/tt0067454/,6.7,2860,91.0,"['Comedy', 'Crime', 'Horror']",Not Rated,,IMDB,Multiple Maniacs (1970) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 1970 (USA)
    
See more »
    
"
Colossus: The Forbin Project,https://www.imdb.com/title/tt0064177/,7.1,7948,100.0,"['Sci-Fi', 'Thriller']",M,,IMDB,Colossus: The Forbin Project (1970) ,"
Country:
USA
","
Language:
English
|
Russian
","
Release Date: 8 April 1970 (USA)
    
See more »
    
"
Gods of the Plague,https://www.imdb.com/title/tt0065808/,6.5,1175,91.0,"['Crime', 'Drama']",,,IMDB,Gods of the Plague (1970) ,"
Country:
West Germany
","
Language:
German
|
French
|
English
","
Release Date: 24 July 1970 (West Germany)
    
See more »
    
"
Count Dracula,https://www.imdb.com/title/tt0065569/,5.8,2566,98.0,"['Drama', 'Horror']",PG,,IMDB,Count Dracula (1970) ,"
Country:
Spain
|
West Germany
|
Italy
|
Liechtenstein
|
UK
","
Language:
English
|
Spanish
|
Italian
|
German
","
Release Date: 12 October 1973 (USA)
    
See more »
    
"
