Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
150,Babam ve Oglum,0.813363841656064,18 November 2005 (Turkey),1h 52min,"Drama, 
Family",18 November 2005 (Turkey)
151,"Three Billboards Outside Ebbing, Missouri",0.8132901881817656,"Comedy, Crime, Drama",R,1h 55min,1 December 2017 (USA)
152,Dial M for Murder,0.813210551131516,"Crime, Thriller",PG,1h 45min,29 May 1954 (USA)
153,The Gold Rush,0.8131342322416719,"Adventure, Comedy, Drama",Passed,1h 35min,13 July 1925 (Brazil)
154,Chinatown,0.8130547121783265,"Drama, Mystery, Thriller",R,2h 10min,20 June 1974 (USA)
155,V for Vendetta,0.8125149345759521,"Action, Drama, Sci-Fi",R,2h 12min,17 March 2006 (USA)
156,No Country for Old Men,0.8124457794699097,"Crime, Drama, Thriller",R,2h 2min,21 November 2007 (USA)
157,The Seventh Seal,0.8124305625498707,"Drama, Fantasy",Not Rated,1h 36min,13 October 1958 (USA)
158,Shutter Island,0.812302486568122,"Mystery, Thriller",R,2h 18min,19 February 2010 (USA)
159,Inside Out,0.8121930847463398,"Animation, Adventure, Comedy",PG,1h 35min,19 June 2015 (USA)
160,Warrior,0.8120269278681717,"Action, Drama, Sport",PG-13,2h 20min,9 September 2011 (USA)
161,The Elephant Man,0.8117107791550862,"Biography, Drama",PG,2h 4min,10 October 1980 (USA)
162,Trainspotting,0.8116590393893317,Drama,R,1h 33min,9 August 1996 (USA)
163,The Sixth Sense,0.8115091936803187,"Drama, Mystery, Thriller",PG-13,1h 47min,6 August 1999 (USA)
164,The Thing,0.8114192483859822,"Horror, Mystery, Sci-Fi",R,1h 49min,25 June 1982 (USA)
